year,event,code,title,categories,hardware_hints,source,source_path,source_url
1994,national,A,简易数控直流电源,power-electronics,power-stage,chenshuo-nuedc,1994_A题_简易数控直流电源.pdf,https://github.com/chenshuo/nuedc/blob/main/docs/problems/1994_A%E9%A2%98_%E7%AE%80%E6%98%93%E6%95%B0%E6%8E%A7%E7%9B%B4%E6%B5%81%E7%94%B5%E6%BA%90.pdf
1994,national,B,多路数据采集系统,digital-systems-fpga,general-embedded,chenshuo-nuedc,1994_B题_多路数据采集系统.pdf,https://github.com/chenshuo/nuedc/blob/main/docs/problems/1994_B%E9%A2%98_%E5%A4%9A%E8%B7%AF%E6%95%B0%E6%8D%AE%E9%87%87%E9%9B%86%E7%B3%BB%E7%BB%9F.pdf
1995,national,A,实用低频功率放大器,power-electronics;analog-rf,general-embedded,chenshuo-nuedc,1995_A题_实用低频功率放大器.pdf,https://github.com/chenshuo/nuedc/blob/main/docs/problems/1995_A%E9%A2%98_%E5%AE%9E%E7%94%A8%E4%BD%8E%E9%A2%91%E5%8A%9F%E7%8E%87%E6%94%BE%E5%A4%A7%E5%99%A8.pdf
1995,national,B,实用信号源的设计和制作,analog-rf,general-embedded,chenshuo-nuedc,1995_B题_实用信号源的设计和制作.pdf,https://github.com/chenshuo/nuedc/blob/main/docs/problems/1995_B%E9%A2%98_%E5%AE%9E%E7%94%A8%E4%BF%A1%E5%8F%B7%E6%BA%90%E7%9A%84%E8%AE%BE%E8%AE%A1%E5%92%8C%E5%88%B6%E4%BD%9C.pdf
1995,national,C,简易无线电遥控系统,communications-network,rf-front-end,chenshuo-nuedc,1995_C题_简易无线电遥控系统.pdf,https://github.com/chenshuo/nuedc/blob/main/docs/problems/1995_C%E9%A2%98_%E7%AE%80%E6%98%93%E6%97%A0%E7%BA%BF%E7%94%B5%E9%81%A5%E6%8E%A7%E7%B3%BB%E7%BB%9F.pdf
1995,national,D,简易电阻 电容和电感测试仪,instrumentation,precision-analog,chenshuo-nuedc,1995_D题_简易电阻_电容和电感测试仪.pdf,https://github.com/chenshuo/nuedc/blob/main/docs/problems/1995_D%E9%A2%98_%E7%AE%80%E6%98%93%E7%94%B5%E9%98%BB_%E7%94%B5%E5%AE%B9%E5%92%8C%E7%94%B5%E6%84%9F%E6%B5%8B%E8%AF%95%E4%BB%AA.pdf
1997,national,A,直流稳定电源,power-electronics,power-stage,chenshuo-nuedc,1997_A题_直流稳定电源.pdf,https://github.com/chenshuo/nuedc/blob/main/docs/problems/1997_A%E9%A2%98_%E7%9B%B4%E6%B5%81%E7%A8%B3%E5%AE%9A%E7%94%B5%E6%BA%90.pdf
1997,national,B,简易数字频率计,instrumentation,general-embedded,chenshuo-nuedc,1997_B题_简易数字频率计.pdf,https://github.com/chenshuo/nuedc/blob/main/docs/problems/1997_B%E9%A2%98_%E7%AE%80%E6%98%93%E6%95%B0%E5%AD%97%E9%A2%91%E7%8E%87%E8%AE%A1.pdf
1997,national,C,水温控制系统,control-robotics,general-embedded,chenshuo-nuedc,1997_C题_水温控制系统.pdf,https://github.com/chenshuo/nuedc/blob/main/docs/problems/1997_C%E9%A2%98_%E6%B0%B4%E6%B8%A9%E6%8E%A7%E5%88%B6%E7%B3%BB%E7%BB%9F.pdf
1997,national,D,调幅广播收音机,analog-rf,rf-front-end,chenshuo-nuedc,1997_D题_调幅广播收音机.pdf,https://github.com/chenshuo/nuedc/blob/main/docs/problems/1997_D%E9%A2%98_%E8%B0%83%E5%B9%85%E5%B9%BF%E6%92%AD%E6%94%B6%E9%9F%B3%E6%9C%BA.pdf
